,DEPT,TVD,Incl,Azim Grid,Azim True,VSEC,AHD,NS,EW,DLS,Northing,Easting,Well
100,537.3624,535.8877,10.95747899,216.0040336,217.8240336,18.34235294,22.71084034,-27.7102521,-10.5389916,1.13,5157513.236,691808.8677,Hebron 9301
101,537.6672,536.1869,10.96369748,216.000084,217.820084,18.36588235,22.74210084,-27.73563025,-10.55747899,1.13,5157513.211,691808.8493,Hebron 9301
102,537.8196,536.3365,10.96991597,215.9961345,217.8161345,18.38941176,22.77336134,-27.7610084,-10.57596639,1.13,5157513.186,691808.8309,Hebron 9301
103,537.972,536.4862,10.97613445,215.9921849,217.8121849,18.41294118,22.80462185,-27.78638655,-10.59445378,1.13,5157513.161,691808.8125,Hebron 9301
104,538.1244,536.6358,10.98235294,215.9882353,217.8082353,18.43647059,22.83588235,-27.81176471,-10.61294118,1.13,5157513.135,691808.7941,Hebron 9301
105,538.2768,536.7854,10.98857143,215.9842857,217.8042857,18.46,22.86714286,-27.83714286,-10.63142857,1.13,5157513.11,691808.7757,Hebron 9301
106,538.4292,536.935,10.99478992,215.9803361,217.8003361,18.48352941,22.89840336,-27.86252101,-10.64991597,1.13,5157513.085,691808.7573,Hebron 9301
107,538.5816,537.0846,11.0010084,215.9763866,217.7963866,18.50705882,22.92966387,-27.88789916,-10.66840336,1.13,5157513.059,691808.7389,Hebron 9301
108,538.734,537.2342,11.00722689,215.972437,217.792437,18.53058824,22.96092437,-27.91327731,-10.68689076,1.13,5157513.034,691808.7205,Hebron 9301
109,538.8864,537.3838,11.01344538,215.9684874,217.7884874,18.55411765,22.99218487,-27.93865546,-10.70537815,1.13,5157513.009,691808.7021,Hebron 9301
110,539.0388,537.5334,11.01966387,215.9645378,217.7845378,18.57764706,23.02344538,-27.96403361,-10.72386555,1.13,5157512.984,691808.6837,Hebron 9301
111,539.3436,537.8325,11.02588235,215.9605882,217.7805882,18.60117647,23.05470588,-27.98941176,-10.74235294,1.13,5157512.958,691808.6653,Hebron 9301
112,539.496,537.9821,11.03210084,215.9566387,217.7766387,18.62470588,23.08596639,-28.01478992,-10.76084034,1.13,5157512.933,691808.6469,Hebron 9301
113,539.8008,538.2813,11.03831933,215.9526891,217.7726891,18.64823529,23.11722689,-28.04016807,-10.77932773,1.13,5157512.908,691808.6285,Hebron 9301
114,539.9532,538.4308,11.04453782,215.9487395,217.7687395,18.67176471,23.14848739,-28.06554622,-10.79781513,1.13,5157512.882,691808.6101,Hebron 9301
115,540.1056,538.5804,11.0507563,215.9447899,217.7647899,18.69529412,23.1797479,-28.09092437,-10.81630252,1.13,5157512.857,691808.5917,Hebron 9301
116,540.258,538.73,11.05697479,215.9408403,217.7608403,18.71882353,23.2110084,-28.11630252,-10.83478992,1.13,5157512.832,691808.5733,Hebron 9301
117,540.4104,538.8795,11.06319328,215.9368908,217.7568908,18.74235294,23.24226891,-28.14168067,-10.85327731,1.13,5157512.806,691808.5549,Hebron 9301
118,540.7152,539.1787,11.06941176,215.9329412,217.7529412,18.76588235,23.27352941,-28.16705882,-10.87176471,1.13,5157512.781,691808.5365,Hebron 9301
119,540.8676,539.3282,11.07563025,215.9289916,217.7489916,18.78941176,23.30478992,-28.19243697,-10.8902521,1.13,5157512.756,691808.5181,Hebron 9301
120,541.02,539.4778,11.08184874,215.925042,217.745042,18.81294118,23.33605042,-28.21781513,-10.9087395,1.13,5157512.731,691808.4997,Hebron 9301
121,541.1724,539.6273,11.08806723,215.9210924,217.7410924,18.83647059,23.36731092,-28.24319328,-10.92722689,1.13,5157512.705,691808.4813,Hebron 9301
122,541.3248,539.7769,11.09428571,215.9171429,217.7371429,18.86,23.39857143,-28.26857143,-10.94571429,1.13,5157512.68,691808.4629,Hebron 9301
123,541.4772,539.9264,11.1005042,215.9131933,217.7331933,18.88352941,23.42983193,-28.29394958,-10.96420168,1.13,5157512.655,691808.4445,Hebron 9301
124,541.6296,540.076,11.10672269,215.9092437,217.7292437,18.90705882,23.46109244,-28.31932773,-10.98268908,1.13,5157512.629,691808.4261,Hebron 9301
125,541.782,540.2255,11.11294118,215.9052941,217.7252941,18.93058824,23.49235294,-28.34470588,-11.00117647,1.13,5157512.604,691808.4076,Hebron 9301
126,541.9344,540.375,11.11915966,215.9013445,217.7213445,18.95411765,23.52361345,-28.37008403,-11.01966387,1.13,5157512.579,691808.3892,Hebron 9301
127,542.0868,540.5246,11.12537815,215.897395,217.717395,18.97764706,23.55487395,-28.39546218,-11.03815126,1.13,5157512.554,691808.3708,Hebron 9301
128,542.2392,540.6741,11.13159664,215.8934454,217.7134454,19.00117647,23.58613445,-28.42084034,-11.05663866,1.13,5157512.528,691808.3524,Hebron 9301
129,542.3916,540.8236,11.13781513,215.8894958,217.7094958,19.02470588,23.61739496,-28.44621849,-11.07512605,1.13,5157512.503,691808.334,Hebron 9301
130,542.544,540.9731,11.14403361,215.8855462,217.7055462,19.04823529,23.64865546,-28.47159664,-11.09361345,1.13,5157512.478,691808.3156,Hebron 9301
131,542.6964,541.1227,11.1502521,215.8815966,217.7015966,19.07176471,23.67991597,-28.49697479,-11.11210084,1.13,5157512.452,691808.2972,Hebron 9301
132,542.8488,541.2722,11.15647059,215.8776471,217.6976471,19.09529412,23.71117647,-28.52235294,-11.13058824,1.13,5157512.427,691808.2788,Hebron 9301
133,543.0012,541.4217,11.16268908,215.8736975,217.6936975,19.11882353,23.74243697,-28.54773109,-11.14907563,1.13,5157512.402,691808.2604,Hebron 9301
134,543.1536,541.5712,11.16890756,215.8697479,217.6897479,19.14235294,23.77369748,-28.57310924,-11.16756303,1.13,5157512.376,691808.242,Hebron 9301
135,543.306,541.7207,11.17512605,215.8657983,217.6857983,19.16588235,23.80495798,-28.59848739,-11.18605042,1.13,5157512.351,691808.2236,Hebron 9301
136,543.4584,541.8702,11.18134454,215.8618487,217.6818487,19.18941176,23.83621849,-28.62386555,-11.20453782,1.13,5157512.326,691808.2052,Hebron 9301
137,543.6108,542.0197,11.18756303,215.8578992,217.6778992,19.21294118,23.86747899,-28.6492437,-11.22302521,1.13,5157512.301,691808.1868,Hebron 9301
138,543.7632,542.1692,11.19378151,215.8539496,217.6739496,19.23647059,23.8987395,-28.67462185,-11.24151261,1.13,5157512.275,691808.1684,Hebron 9301
139,543.83,542.23,11.2,215.85,217.67,19.26,23.93,-28.7,-11.26,1.13,5157512.25,691808.15,Hebron 9301
140,543.9156,542.3187,11.2113369,215.8383957,217.6583957,19.28491979,23.96245989,-28.72663102,-11.2784492,1.136149733,5157512.223,691808.1316,Hebron 9301
141,544.068,542.4682,11.2226738,215.8267914,217.6467914,19.30983957,23.99491979,-28.75326203,-11.2968984,1.142299465,5157512.197,691808.1131,Hebron 9301
142,544.2204,542.6177,11.2340107,215.8151872,217.6351872,19.33475936,24.02737968,-28.77989305,-11.31534759,1.148449198,5157512.17,691808.0947,Hebron 9301
143,544.3728,542.7672,11.24534759,215.8035829,217.6235829,19.35967914,24.05983957,-28.80652406,-11.33379679,1.15459893,5157512.143,691808.0762,Hebron 9301
144,544.5252,542.9167,11.25668449,215.7919786,217.6119786,19.38459893,24.09229947,-28.83315508,-11.35224599,1.160748663,5157512.117,691808.0578,Hebron 9301
145,544.6776,543.0661,11.26802139,215.7803743,217.6003743,19.40951872,24.12475936,-28.8597861,-11.37069519,1.166898396,5157512.09,691808.0393,Hebron 9301
146,544.83,543.2156,11.27935829,215.7687701,217.5887701,19.4344385,24.15721925,-28.88641711,-11.38914439,1.173048128,5157512.064,691808.0209,Hebron 9301
147,544.9824,543.365,11.29069519,215.7571658,217.5771658,19.45935829,24.18967914,-28.91304813,-11.40759358,1.179197861,5157512.037,691808.0024,Hebron 9301
148,545.1348,543.5145,11.30203209,215.7455615,217.5655615,19.48427807,24.22213904,-28.93967914,-11.42604278,1.185347594,5157512.01,691807.984,Hebron 9301
149,545.2872,543.6639,11.31336898,215.7339572,217.5539572,19.50919786,24.25459893,-28.96631016,-11.44449198,1.191497326,5157511.984,691807.9655,Hebron 9301
150,545.4396,543.8134,11.32470588,215.7223529,217.5423529,19.53411765,24.28705882,-28.99294118,-11.46294118,1.197647059,5157511.957,691807.9471,Hebron 9301
151,545.592,543.9628,11.33604278,215.7107487,217.5307487,19.55903743,24.31951872,-29.01957219,-11.48139037,1.203796791,5157511.93,691807.9286,Hebron 9301
152,545.7444,544.1122,11.34737968,215.6991444,217.5191444,19.58395722,24.35197861,-29.04620321,-11.49983957,1.209946524,5157511.904,691807.9102,Hebron 9301
153,545.8968,544.2617,11.35871658,215.6875401,217.5075401,19.60887701,24.3844385,-29.07283422,-11.51828877,1.216096257,5157511.877,691807.8917,Hebron 9301
154,546.0492,544.4111,11.37005348,215.6759358,217.4959358,19.63379679,24.4168984,-29.09946524,-11.53673797,1.222245989,5157511.851,691807.8733,Hebron 9301
155,546.2016,544.5605,11.38139037,215.6643316,217.4843316,19.65871658,24.44935829,-29.12609626,-11.55518717,1.228395722,5157511.824,691807.8548,Hebron 9301
156,546.354,544.7099,11.39272727,215.6527273,217.4727273,19.68363636,24.48181818,-29.15272727,-11.57363636,1.234545455,5157511.797,691807.8364,Hebron 9301
157,546.5064,544.8593,11.40406417,215.641123,217.461123,19.70855615,24.51427807,-29.17935829,-11.59208556,1.240695187,5157511.771,691807.8179,Hebron 9301
158,546.6588,545.0087,11.41540107,215.6295187,217.4495187,19.73347594,24.54673797,-29.2059893,-11.61053476,1.24684492,5157511.744,691807.7995,Hebron 9301
159,546.8112,545.1581,11.42673797,215.6179144,217.4379144,19.75839572,24.57919786,-29.23262032,-11.62898396,1.252994652,5157511.717,691807.781,Hebron 9301
160,546.9636,545.3074,11.43807487,215.6063102,217.4263102,19.78331551,24.61165775,-29.25925134,-11.64743316,1.259144385,5157511.691,691807.7626,Hebron 9301
161,547.116,545.4568,11.44941176,215.5947059,217.4147059,19.80823529,24.64411765,-29.28588235,-11.66588235,1.265294118,5157511.664,691807.7441,Hebron 9301
162,547.2684,545.6062,11.46074866,215.5831016,217.4031016,19.83315508,24.67657754,-29.31251337,-11.68433155,1.27144385,5157511.637,691807.7257,Hebron 9301
163,547.4208,545.7555,11.47208556,215.5714973,217.3914973,19.85807487,24.70903743,-29.33914439,-11.70278075,1.277593583,5157511.611,691807.7072,Hebron 9301
